title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,similarity
Microenvironment engineering for electroreduction of CO2 to methanol in strong acids,https://www.nature.com/articles/s41565-025-02072-2,Nature Nanotechnology,2025-12-30 00:00:00 UTC,2025-12-30 00:00:00+00:00,,,,False,,
Toward electrified CO2-free hydrogen production: A multiphysics model investigating microwave-driven methane pyrolysis in fluidized beds,https://www.sciencedirect.com/science/article/pii/S0306261925020082?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2025-12-30 00:00:00 UTC,2025-12-30 00:00:00+00:00,,,,False,,
Divergent paths: A machine learning analysis of post-pandemic decarbonization trajectories and the global climate policy imperative,https://www.sciencedirect.com/science/article/pii/S0301421525005567?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2025-12-30 00:00:00 UTC,2025-12-30 00:00:00+00:00,,,,False,,
Molecularly Engineered Cellulose: the Next-Generation Sustainable Polymer Electrolyte Materials,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE05398F,RSC - Energy Environ. Sci. latest articles,2025-12-30 00:00:00 UTC,2025-12-30 00:00:00+00:00,,"Growing environmental imperatives are driving the need to substitute petroleum-derived materials with renewable and sustainable alternatives to enable the production of biodegradable and carbon-neutral products. As a naturally abundant and versatile biopolymer, cellulose has been extensively utilized in conventional industries such as papermaking and textiles, and is increasingly being applied in emerging advanced fields, including energy storage, food technology, emulsions, coatings, cosmetics, and biomedical applications. With the iteration and development of energy technology, cellulose-mediated polymer electrolyte materials (PEMs) have re-emerged as the materials of notable scientific and commercial communities due to their exceptional performance advantages in electrochemical energy storage. In this review, we comprehensively summarize and analyze the molecule engineering strategies, key features, and the corresponding construction strategies utilizing cellulose for the preparation of novel PEMs. Particularly, we provide a material and structural perspective how the ion conductivity, ion selectivity, anti-swelling property, self-healing property, flame retardancy, porosity, mechanical property, and photoelectric stability of cellulose-mediated PEMs can be regulated through molecular chemistry. Finally, we examine the potential of these strategies in advancing circular economy principles and environmental sustainability objectives, while also identifying key challenges and outlining promising future research directions. We emphasize the critical need for advanced molecular-level chemical engineering to fully harness the potential of cellulose for energy-related applications.",rsc_html,False,,
"Advanced carbon supports for elevated-temperature PEMFCs: Multiscale thermal transport, graphitization strategies, and interfacial engineering",https://www.sciencedirect.com/science/article/pii/S030626192502032X?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2025-12-30 00:00:00 UTC,2025-12-30 00:00:00+00:00,,,,False,,
An empirically based dynamic approach to sustainable climate policy design,https://www.nature.com/articles/s41893-025-01715-5,Nature Sustainability,2025-12-30 00:00:00 UTC,2025-12-30 00:00:00+00:00,,"Conventional approaches to policy design often neglect the plasticity of citizens’ beliefs and values upon which policy effectiveness and political sustainability depend. A consequence, by way of illustration, is that environmental policies may crowd out pre-existing green values. Our representative survey of 3,306 Germans finds that enforced restrictions to promote carbon-neutral lifestyles would trigger strong negative responses because they ‘restrict freedom’. This is true even among those who would adopt green lifestyles when voluntary, thus possibly undermining support for green political movements. These results combined with the long-term political consequences of the polarizing reactions to Covid mandates motivate a new approach to climate policy design. We set aside the conventional economic model assuming self-interested citizens, in which there could be no green values to crowd out. Instead, we propose a dynamic approach recognizing that (1) to succeed, essential policies including bans, carbon taxes and the promotion of new technologies must be both implementable and politically sustainable, entailing (2) a critical role for citizens’ green values, which (3) may be either diminished or cultivated, depending on policy design.",nature_html,False,,
Molecular‐Level Design of Asphalt‐Derived Hard Carbon with Enhanced Ion/Electron Transport for High‐Rate Sodium‐Ion Batteries,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202506585?af=R,Wiley: Advanced Energy Materials: Table of Contents,2025-12-30 12:18:44 UTC,2025-12-30 12:18:44+00:00,10.1002/aenm.202506585,"ABSTRACT
                  
                    Asphalt is an attractive precursor for hard carbon anodes in sodium‐ion batteries owing to its low cost and excellent structural consistency. However, conventional oxidative strategies, commonly employed for converting asphalt into hard carbon, inevitably distorts the carbon framework, disrupting electronic continuity and Na⁺ diffusion, thereby limiting rate capability. Herein, an integrated molecular‐level strategy is developed by coupling controlled oxidative crosslinking with simultaneous nitrogen modulation, enabling rapid electron/ion transport and delivering outstanding electrochemical performance, as validated in Ah‐level cylindrical cells. Combined with in situ characterizations and theoretical calculations, we uncover that synergistic graphitic and pyrrolic nitrogen species markedly enhance structural stability and charge transport—with the electronic conductivity reaching 41.9 S cm
                    −1
                    (1.5 × higher) and ionic conductivity up to 0.87 mS cm
                    −1
                    (1.4 × higher)—while inducing the formation of a thin, NaF‐rich solid electrolyte interface that collectively promotes ultrafast Na
                    +
                    migration and long‐term stability. As a result, the modulated hard carbon achieves a high capacity of 361.8 mA h g
                    −1
                    , excellent rate capability (190.3 mA h g
                    −1
                    at 5.0 A g
                    −1
                    ), and superior cycling stability. When assembled into 18650 cylindrical cells, it delivers energy density of 106.7 Wh kg
                    −1
                    , retaining 83.8% capacity after 1000 cycles at 1C/10C, highlighting its strong practical potential.",crossref,False,,
Dislocation‐Enhanced Pyroelectricity in Barium Titanate,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202515988?af=R,Wiley: Advanced Materials: Table of Contents,2025-12-30 12:19:59 UTC,2025-12-30 12:19:59+00:00,10.1002/adma.202515988,"ABSTRACT
                  
                    Pyroelectric materials hold significant promise for thermal sensing, imaging, and energy harvesting, with the pyroelectric coefficient serving as the key figure of merit. While intrinsic lattice optimization, particularly through zero‐dimensional point defects, has improved pyroelectric properties, extrinsic contributions from mobile ferroelectric domain walls have remained underexplored. Here, a dislocation‐based one‐dimensional mechanical doping strategy is proposed to enhance the pyroelectric response of classical ferroelectric BaTiO
                    3
                    single crystals. By employing high‐temperature plastic deformation, anisotropic dislocation networks are produced that introduce localized stress concentrations and thermal expansion/contraction effects, which amplify domain‐wall motion. These directional strain fields, combined with phonon–dislocation interactions, lead to an anisotropic coupling of thermal and electrical fields. While the enhanced phonon scattering reduces thermal conductivity, the strong dislocation–domain‐wall coupling leads to an increase in the temperature sensitivity of polarization and accelerates domain switching, effectively compensating for the reduced heat transport. As a result, the maximum pyroelectric coefficient exceeds 600 nC cm
                    −
                    2
                     K
                    −
                    1
                    , representing a 38‐fold increase compared to the undeformed counterpart. Structural evolution is revealed by synchrotron scanning X‐ray diffraction microscopy and transmission electron microscopy, while multiscale phase‐field simulations corroborate the underlying mechanism. Our work establishes dislocation engineering as an effective new pathway towards domain‐wall‐mediated enhancement of pyroelectric functionality.",crossref,False,,
Chiral Single‐Atom Nanozymes‐Enabled ROS Catalysis and Metal Transport Regulation Cooperatively Induce Ferroptosis to Treat Bacterial Infections,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202518810?af=R,Wiley: Advanced Materials: Table of Contents,2025-12-30 12:31:04 UTC,2025-12-30 12:31:04+00:00,10.1002/adma.202518810,"ABSTRACT
                  
                    Nanozyme‐driven ferroptosis provides a promising therapeutic strategy against drug‐resistant bacterial infections by inducing iron overload and oxidative stress. However, bacterial metal transport proteins (MTP) and antioxidant systems can reduce iron accumulation and lipid peroxidation, limiting the efficacy of ferroptosis‐based therapies and promoting resistance. Single‐atom and chiral nanozymes, with their high atomic utilization and catalytic specificity, may provide an effective approach to overcoming bacterial defense mechanisms, which has been not exploited. In this study, we report D‐chiral single‐atom iron–carbon dot nanozymes (DFe‐NSC) for effective bacterial infection treatment. Compared to L‐chiral form (LFe‐NSC), DFe‐NSC exhibits significantly higher peroxidase (POD)‐like and glutathione peroxidase (GPx)‐like activities. The enhanced catalytic activity promotes reactive oxygen species (ROS) generation and glutathione depletion, disrupting bacterial redox homeostasis. More intriguingly, DFe‐NSC more effectively modulates the expression and iron‐regulatory function of MTP (including Fur and FtnA) than LFe‐NSC. This will induce substantial accumulation of Fe
                    2
                    ⁺ intracellularly and thereafter lipid peroxidation, thereby facilitating the bactericidal effects of ferroptosis‐like cell death. Resultantly, DFe‐NSC exhibit markedly enhanced antibacterial and antibiofilm activities in diabetic infected wound and osteomyelitis models. This study introduces a chiral catalysis–MTP regulation strategy to induce bacterial ferroptosis‐like death, providing a promising alternative for drug‐resistant infection treatment.",crossref,False,,
[ASAP] Collective Total Synthesis of 12 C4-Oxygenated Cladiellins and Structure Elucidation of Cladieunicellin D and Cladielloides A/C,http://dx.doi.org/10.1021/jacs.5c19112,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-30 14:21:25 UTC,2025-12-30 14:21:25+00:00,10.1021/jacs.5c19112,"Cladiellins are a group of marine natural products found in octocorals inhabiting Indo-Pacific reefs, and some members exhibit medically relevant biological activity. The 6/5/9-membered tricyclic ring skeleton of cladiellins comprises hydroisobenzofuran and oxonane moieties, and possesses three one-carbon branches and one three-carbon branch. Unsaturation and oxygenation at various positions endow structural diversity to this family; however, C4-oxygenated cladiellins are rare. Among these unusual structural features, the conformationally variable 9-membered ring presents an uncommon and formidable challenge for both NMR-based structure determination and chemical synthesis. Herein, we report the collective total synthesis of 12 structurally diverse C4-oxygenated cladiellins, 10 of which were chemically constructed for the first time. In addition, we revised the proposed structures of cladieunicellin D and cladielloide A, and established the previously unknown stereochemistry of cladielloides A/C. To accomplish this multifaceted endeavor, the project was divided into three parts. In the first part, we deduced the most likely stereoisomers of the three structurally ambiguous cladiellins from DP4+ probability analyses. In the second part, a common tricycle was assembled by a radical-polar crossover reaction of α-alkoxyacyl telluride with a 6-membered ring and an aldehyde, a reductive etherification reaction of a 5-membered ring, and a ring-closing metathesis reaction of a 9-membered ring. In the third part, the tricycle was systematically derivatized into 12 cladiellins by devising a series of selective transformations. The described results underscore the importance of designing an advanced common intermediate for collective total synthesis and combining density functional theory (DFT) calculations and syntheses for efficient structure elucidation.",pubmed,False,,
