title,link,published,source,pub_date
Watch: Moment Hawaii volcano eruption engulfs camera,https://www.bbc.com/news/videos/ckgm4yjl214o?at_medium=RSS&at_campaign=rss,2025-12-07 09:44:56 UTC,BBC News,2025-12-07 09:44:56+00:00
[ASAP] Unifying Dearomatization and Rearomatization via Stereoselective Chlorination/Dechlorination: Resolution of Axially Chiral 1-Aryl-2-naphthols,http://dx.doi.org/10.1021/jacs.5c15900,2025-12-07 13:54:57 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-07 13:54:57+00:00
[ASAP] Structural and Mechanistic Basis for Orthoester Formation by αKG-Free Endoperoxide Isomerase in Novofumigatonin Biosynthesis,http://dx.doi.org/10.1021/jacs.5c14075,2025-12-07 17:58:18 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-07 17:58:18+00:00
[ASAP] Structural High-Entropy FePt Alloy Nanoparticles Enabled Fast Magnetization Dynamics,http://dx.doi.org/10.1021/jacs.5c16751,2025-12-07 17:59:27 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-07 17:59:27+00:00
[ASAP] π-Extended Ru–COUBPY Photosensitizers for In Vivo Anticancer Phototherapy Using One-Photon 780 nm Near-Infrared Light,http://dx.doi.org/10.1021/jacs.5c15343,2025-12-07 18:00:10 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-07 18:00:10+00:00
Converting methane into carbon nanotubes and hydrogen in a continuous flow reactor,https://www.nature.com/articles/s41560-025-01926-2,2025-12-08 00:00:00 UTC,Nature Energy,2025-12-08 00:00:00+00:00
The top US health director who stood up for science — and was fired,https://www.nature.com/articles/d41586-025-03838-3,2025-12-08 00:00:00 UTC,Nature,2025-12-08 00:00:00+00:00
The Chinese finance whizz whose DeepSeek AI model stunned the world,https://www.nature.com/articles/d41586-025-03845-4,2025-12-08 00:00:00 UTC,Nature,2025-12-08 00:00:00+00:00
Long-COVID research just got a big funding boost: will it find new treatments?,https://www.nature.com/articles/d41586-025-03904-w,2025-12-08 00:00:00 UTC,Nature,2025-12-08 00:00:00+00:00
The visionary physicist who gave us a new way to view the cosmos,https://www.nature.com/articles/d41586-025-03840-9,2025-12-08 00:00:00 UTC,Nature,2025-12-08 00:00:00+00:00
"9,000 metres under the sea: this researcher found the deepest animal ecosystems on Earth",https://www.nature.com/articles/d41586-025-03843-6,2025-12-08 00:00:00 UTC,Nature,2025-12-08 00:00:00+00:00
This science sleuth revealed a retraction crisis at Indian universities,https://www.nature.com/articles/d41586-025-03839-2,2025-12-08 00:00:00 UTC,Nature,2025-12-08 00:00:00+00:00
This scientist found a new trick of the immune system by digging through cellular rubbish,https://www.nature.com/articles/d41586-025-03846-3,2025-12-08 00:00:00 UTC,Nature,2025-12-08 00:00:00+00:00
How to get science back into policymaking,https://www.nature.com/articles/d41586-025-03978-6,2025-12-08 00:00:00 UTC,Nature,2025-12-08 00:00:00+00:00
‘Giant step forward’ for Huntington’s — the scientist behind the first gene therapy,https://www.nature.com/articles/d41586-025-03842-7,2025-12-08 00:00:00 UTC,Nature,2025-12-08 00:00:00+00:00
The first global pandemic treaty — and the woman who made it happen,https://www.nature.com/articles/d41586-025-03841-8,2025-12-08 00:00:00 UTC,Nature,2025-12-08 00:00:00+00:00
LamNet: an alchemical-path-aware graph neural network to accelerate binding free energy calculations for drug discovery and beyond,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf559/8373816?rss=1,2025-12-08 00:00:00 UTC,National Science Review Advance Access,2025-12-08 00:00:00+00:00
Computational Ethology: a new path for studying canine behavior genomics and human mental disorder,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf558/8373813?rss=1,2025-12-08 00:00:00 UTC,National Science Review Advance Access,2025-12-08 00:00:00+00:00
