title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract
Tumor-associated CD19+ macrophages induce immunosuppressive microenvironment in hepatocellular carcinoma,https://www.nature.com/articles/s41467-026-69638-z,Nature Communications,2026-02-26 00:00:00 UTC,2026-02-26 00:00:00+00:00,,"Tumor-associated macrophages are a key component that contributes to the immunosuppressive microenvironment in human cancers. However, therapeutic targeting of macrophages has been a challenge in clinic due to the limited understanding of their heterogeneous subpopulations and distinct functions. Here, we identify a clinically relevant CD19+ subpopulation of macrophages that is enriched in many types of cancer, particularly in hepatocellular carcinoma (HCC). The CD19+ macrophages exhibit increased levels of programmed cell death 1 ligand 1 (PD-L1) and CD73, enhanced mitochondrial oxidation, and compromised phagocytosis, indicating their immunosuppressive functions. Targeting CD19+ macrophages with anti-CD19 chimeric antigen receptor T (CAR-T) cells inhibited HCC tumor growth. We identify Paired Box 5 (PAX5) as a primary driver of up-regulated mitochondrial biogenesis in CD19+ macrophages, which depletes cytoplasmic Ca2+, leading to lysosomal deficiency and consequent accumulation of CD73 and PD-L1. Inhibiting CD73 or mitochondrial oxidation enhanced the efficacy of immune checkpoint blockade therapy in treating HCC, suggesting great promise for CD19+ macrophage-targeting therapeutics.",nature_html,0
Cr–O–In Interlocking for Window Layer Delamination Resistance in Operationally Stable Perovskite/Silicon Tandem Solar Cells,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE07165H,RSC - Energy Environ. Sci. latest articles,2026-02-26 00:00:00 UTC,2026-02-26 00:00:00+00:00,,"Perovskite/silicon tandem solar cells have achieved remarkable efficiencies but remain limited by poor operational stability, primarily due to the instability of fullerene/atomic-layer-deposited (ALD) SnOX interfaces in the top window layer–an issue that is often negligible in single-junction devices but becomes critically important in tandems. This instability originates from poor adhesion, incomplete precursor reactions during low-temperature ALD process, and oxidative exposure of the fullerene layer. Here, we introduce a Cr–O–In interlocking interface formed via chromium (Cr) diffusion into the transparent electrode and fullerene layer, which effectively mitigates window layer delamination and establishes robust interfacial contact. Notably, Cr does not diffuse across fullerene layer due to its strong reaction with C60 layer, which effectively immobilizes the metal atoms shortly after deposition and impedes deep diffusion. In addition, this interlocking interface integrates optical transparency, favorable band alignment, and resistance to sputtering, while enabling n-type doping of fullerene layer to enhance electron mobility and suppress across-interface nonradiative recombination. As a result, single-junction 1.67 eV perovskite solar cells achieve a PCE of 23.27% (average PCE of 22.85%), and perovskite/silicon tandems reach 32.77%, with a certified stabilized efficiency of 32.51%, among the highest reported for monolithic perovskite/TOPCon tandems. Moreover, the Cr–O–In ionic interlocking interface enhances long-term operational stability, paving the way toward scalable, industrially applicable tandem photovoltaics.",rsc_html,0
Ultrahigh Energy Storage in Multilayer Capacitors with Self-Assembled Glass-Like Matrix and Polar Clusters,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE07705B,RSC - Energy Environ. Sci. latest articles,2026-02-26 00:00:00 UTC,2026-02-26 00:00:00+00:00,,"The development of multilayer ceramic capacitors (MLCCs) with high energy storage performance (ESP) is crucial for keeping pace with the ongoing trend toward miniaturization and integration in next-generation pulsed-power systems. Nevertheless, current research strategies of tailoring device performance based on bulk ceramic properties, typically involve premature polarization saturation and limit the potential for performance breakthroughs in MLCCs. To address this issue, we construct a novel polarization configuration comprising polar clusters embedded within a glass-like matrix. This configuration successfully enables high-polarity near-linear characteristics under high electric fields, avoiding the energy density limitations imposed by premature polarization saturation in conventional relaxors. As a result, the fabricated MLCCs exhibit ultrahigh ESP with a recoverable energy density of 24.8 J cm-3 and an efficiency of 92.4%, along with exceptional reliability and discharge characteristics, demonstrating enormous application potential. This work highlights the superiority of developing high-polarity near-linear dielectrics over existing strategies for achieving ultrahigh-ESP MLCCs, and proposes a feasible approach via high-entropy engineered construction of self-assembled glass-like matrix and polar clusters.",rsc_html,0
Heterogeneous catalytic deuteration using D2O and advances in the application of deuterium labelling,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D5CS00647C,RSC - Chem. Soc. Rev. latest articles,2026-02-26 00:00:00 UTC,2026-02-26 00:00:00+00:00,,"Deuterium labelling has been a vital tool in chemical, pharmaceutical, and biological research for many years. Recently, there has been a surge of interest in its applications in emerging fields such as deuterium metabolic imaging (DMI) and luminescent material development. The demand for deuteration of organic compounds has increased significantly, resulting in the development of various heterogeneous catalytic deuteration methodologies, including nanocatalysis and electrocatalysis, over the past five years. Notably, many of these deuteration reactions utilize relatively inexpensive, environmentally friendly, and safe D2O, which enhances operational convenience. This review aims to summarize recent advancements in heterogeneous catalytic deuteration using D2O and to highlight innovative applications of deuterium labelling, including deuterium metabolic imaging, deuterated luminescent materials, and quantitative mass spectrometry.",rsc_html,0
Daily briefing: Stem-cell treatment strengthens people with age-related frailty,https://www.nature.com/articles/d41586-026-00672-z,Nature,2026-02-26 00:00:00 UTC,2026-02-26 00:00:00+00:00,,,,0
Ordered scalable solar-driven dry reforming of methane via synergy of plasmonic catalysts with biomimetic reactors,https://www.cell.com/joule/fulltext/S2542-4351(25)00485-4?rss=yes,Joule,2026-02-26 00:00:00 UTC,2026-02-26 00:00:00+00:00,,"Solar-driven dry reforming of methane holds promise for addressing global energy and environmental challenges simultaneously. This work proposes a novel strategy that synergizes plasmonic meta-nanoalloy catalysts with biomimetic butterfly wing-inspired foam reactors to achieve ordered, scalable solar-driven dry reforming of methane.",rss_cell,0
Commercial-scale glycerol valorization using surface-modified copper cobalt oxide catalyst in high-capacity anion exchange membrane electrolyzer,https://www.cell.com/joule/fulltext/S2542-4351(25)00484-2?rss=yes,Joule,2026-02-26 00:00:00 UTC,2026-02-26 00:00:00+00:00,,"In this work, we demonstrate a 64 cm2 scale anion exchange membrane water electrolyzer (AEMWE) cell for commercial-scale glycerol valorization. For large-scale AEMWE cell applications, we developed a method to mass-produce catalysts through co-precipitation and surface treatment. In addition, the AEMWE system significantly enhances glycerol valorization compared with the H-type system. The developed large-scale AEMWE cell can simultaneously perform glycerol valorization and directly capture pure H2. This work presents a strategy that advances the commercialization of glycerol valorization.",rss_cell,0
Closed-loop recyclable interfacial growth polymerization enables scalable and economical quasi-solid-state lithium metal batteries,https://www.cell.com/joule/fulltext/S2542-4351(25)00457-X?rss=yes,Joule,2026-02-26 00:00:00 UTC,2026-02-26 00:00:00+00:00,,"Conventional in situ polymerization processes face challenges with stability, cost, and scaling up when manufacturing quasi-solid-state lithium batteries. This study develops a novel strategy based on inorganic initiators that is stable and environmentally friendly, offering a new pathway for the continuous, cost-effective production of high-performance batteries.",rss_cell,0
Key role of oxidizing species driving water oxidation revealed by time-resolved optical and X-ray spectroscopies,https://www.nature.com/articles/s41563-026-02514-9,Nature Materials,2026-02-26 00:00:00 UTC,2026-02-26 00:00:00+00:00,,"Oxidation states underpin the understanding of active states, reaction mechanisms and catalytic performance of electrocatalysts. However, determining them at complex solid–liquid interfaces is challenging. Here we use multimodal spectroscopy to investigate polarized iridium oxide (IrOx) electrodes, a model water oxidation catalyst, to identify potential-dependent iridium and oxygen oxidation states. By integrating multiple operando spectroscopies (optical (ultraviolet–visible), Ir L-edge and O K-edge X-ray absorption spectroscopy) with electrochemistry mass spectrometry and density functional theory calculations, we identify the sequential depletion of electron densities from the Ir5d band (corresponding to Ir3+→Ir4+→Ir5+), followed by electron removal from the O2p band, forming electrophilic oxygen species (O−1) due to enhanced Ir–O covalency and electronic state overlap. Time-resolved measurements reveal distinct lifetimes for Ir5+ and O−1 states under water oxidation conditions, Ir5+ remains unreactive whereas O−1 is consumed at a time constant commensurate with the reaction rate, indicating that O−1 drives the oxygen evolution reaction. These findings demonstrate the necessity of using multiple operando techniques to gain a unified understanding of the evolution of oxidation states and active sites with potential for water oxidation on oxide catalysts.",nature_html,0
Unstructured protein mimics have enzymatic activity,https://www.cell.com/chem/fulltext/S2451-9294(26)00062-8?rss=yes,Chem,2026-02-26 00:00:00 UTC,2026-02-26 00:00:00+00:00,,"Random copolymers containing charged, polar, and hydrophobic monomers protect enzymes so they can function in non-biological environments. These heteropolymers imitate unstructured proteins in coacervates that mimic membraneless organelles. Reporting in a recent issue of Nature, a team led by Xu and Alexander-Katz has designed heteropolymers with enzymatic activity by selecting monomers that modulate their chemical microenvironment to replicate enzymatic functionalities.",rss_cell,0
