title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
[ASAP] Rhodium-Catalyzed Desymmetric Addition of Boronic Acids to Malononitriles,http://dx.doi.org/10.1021/jacs.5c23045,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-04-12 12:50:32 UTC,2026-04-12 12:50:32+00:00,10.1021/jacs.5c23045,Zhongxing Huang,"Malononitrile is a privileged chemical feedstock for building complex nitrogen-containing molecules of interest. However, achieving high enantiocontrol in transformations of its derivatives is often challenging, as the spatial arrangement of the two linear nitriles impedes the chelative assistance commonly exploited in related multifunctionalized reactants. Here, we demonstrate a customized phosphoramidite ligand for a rhodium-catalyzed desymmetric addition of carbon nucleophiles to malononitriles. The chiral pocket, enclosed by a vaulted, chlorinated binaphthol skeleton and an iminostilbene motif, is proposed to restrict the C(ipso)-C(α) bond rotation of complexed nitrile and thus enforces precise substrate orientation. Consequently, β-ketonitriles bearing a quaternary stereocenter are obtained in good enantiopurity with versatile reactivity arising from the remaining nitrile, the newly generated ketone, and diverse substituents retained from the malononitrile reactant.",pubmed,0
[ASAP] Localized Cation Unlocks Unique Activity-Selectivity Trends in Molecular Oxygen Reduction Catalysis,http://dx.doi.org/10.1021/jacs.5c18246,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-04-12 16:32:04 UTC,2026-04-12 16:32:04+00:00,10.1021/jacs.5c18246,Seung Jun Hwang,"Integrating electrostatic and Lewis acid effects within a single molecular framework is a critically designed consideration central to the rational design of functional catalysts. Here, we report modular crown-porphyrin architectures that incorporate redox-inactive cations into programmable secondary coordination environments. This design enables systematic modulation of local electric fields, revealing charge-dependent perturbations across mono-, di-, and tri-valent cations through spectroscopic and electrochemical analyses. In oxygen reduction catalysis, the corresponding iron complexes (FeL1-Cl) display tunable reactivity landscapes arising from the interplay of electrostatic and Lewis acid effects. These results provide a framework for the design of cation-responsive molecular architectures in which cooperative noncovalent interactions can be leveraged to influence catalytic outcomes, as illustrated here for oxygen reduction reaction.",pubmed,0
[ASAP] Visible-Light-Promoted Nickel-Catalyzed Cross-Coupling of Iodocarboranes with Triarylarsanes and Triphenylstibanes,http://dx.doi.org/10.1021/jacs.6c04797,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-04-12 16:32:44 UTC,2026-04-12 16:32:44+00:00,10.1021/jacs.6c04797,Shimeng Li,"The construction of stable B-As and B-Sb bonds has long been a formidable challenge. Herein, we present a mild visible-light-promoted nickel-catalyzed radical cross-coupling strategy that directly forges B-As and B-Sb bonds on carborane cages. This protocol efficiently converts iodocarboranes and triarylarsanes/stibanes into a series of previously inaccessible, well-characterized boron-arsanylated and boron-stibanylated carboranes at room temperature. The unique carborane framework stabilizes these typically labile bonds, yielding air- and thermally stable compounds, as confirmed by X-ray crystallography. This work provides a general radical-based platform for exploring boron-heavier pnictogen chemistry.",pubmed,0
[ASAP] Controlling Electrode–Electrolyte Interactions to Enhance Capacitance,http://dx.doi.org/10.1021/jacs.5c20988,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-04-12 16:39:36 UTC,2026-04-12 16:39:36+00:00,10.1021/jacs.5c20988,Alexander C. Forse,"Understanding how ions interact with electrode surfaces at the molecular level is essential for improving the performance of energy storage devices and electrocatalysts. However, progress has been limited by the structural disorder and poorly defined surface chemistries of conventional carbon-based electrodes. In this work, we use layered metal-organic frameworks (MOFs) as model systems to investigate how different functional groups influence electric double-layer capacitance. We find that electrodes with deprotonated M-O and M-S groups exhibit significantly enhanced capacities with alkali metal cations, most notably Li+, compared to tetraethylammonium (TEA+), while no enhancement is observed for MOFs with protonated M-NH groups. The largest capacity increase is seen for MOF electrodes with metal-hydroxy linkages paired with Li+ electrolytes, which we attribute to strong Li-O interactions and improved charge screening. This mechanism is supported by solid-state nuclear magnetic resonance spectroscopy experiments and molecular simulations, which reveal specific Li+ binding at oxygen-rich sites, while operando X-ray techniques rule out cation intercalation as a contributing factor. Overall, these results highlight a chemically tunable strategy for enhancing charge storage in porous electrodes and offer new insights into how surface functionality impacts electric double-layer behavior.",pubmed,0
[ASAP] Correction to “Photodecaging of a Mitochondria-Localized Iridium(III) Endoperoxide Complex for Two-Photon Photoactivated Therapy under Hypoxia”,http://dx.doi.org/10.1021/jacs.6c06681,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-04-12 17:51:39 UTC,2026-04-12 17:51:39+00:00,10.1021/jacs.6c06681,Hui Chao,,,0
[ASAP] Quantitative Diagnosis of Li Plating Morphology by Analyzing Response of Electrochemical Impedance Spectroscopy in Working Li Batteries,http://dx.doi.org/10.1021/jacs.5c23170,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-04-12 18:33:45 UTC,2026-04-12 18:33:45+00:00,10.1021/jacs.5c23170,Jia-Qi Huang,"Lithium (Li) plating, a major cause of capacity degradation and safety risks in Li-ion batteries (LIBs), remains a critical challenge in LIBs. Li plating with distinct morphologies exhibits fundamental differences in dendrite growth kinetics, interfacial stability, and ""dead Li"" formation─factors that directly determine a battery's safety threshold and degradation rate, yet the ability to predict deposition morphology has remained elusive. This study develops an in situ, nondestructive diagnostic method for Li deposition morphology through quantitative analysis of charge transfer resistance (Rct) evolution. We systematically controlled deposition morphology through different electrolytes and current densities. Dynamic distribution of relaxation times (DRT) analysis revealed a strong correlation between Rct decay rates and deposition morphology, quantified through the exponential parameter b in the fitting equation y = axb. Based on the distinct decreasing rates of Rct, we defined the Li Growth Factor (LGF) as a quantitative indicator for characterizing deposition morphology. Dendritic deposits exhibited rapid Rct reduction (LGF > 2.0) due to their large electrochemically active surface area (ECSA), while compact spherical or nodule-like Li showed gradual changes (LGF < 1.7). The established methodology provides both fundamental insights into Li deposition processes and a practical tool for battery safety monitoring, offering significant potential for optimizing fast-charging protocols and improving battery management systems.",pubmed,0
[ASAP] Rational Design of High-Na P2-Type Cathodes for Sodium-Ion Batteries: Unveiling Phase Formation Principles and Composition–Structure–Performance Correlations,http://dx.doi.org/10.1021/jacs.5c20111,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-04-12 18:34:25 UTC,2026-04-12 18:34:25+00:00,10.1021/jacs.5c20111,Yong-Sheng Hu,"High-performance cathodes are required for advancing sodium-ion batteries, where both the Na content and transition metal (TM) composition significantly influence electrochemical performance. This work presents a rational design strategy for P2-type layered oxides, integrating increased Na content, reduced Ni/Fe concentration, balanced Mn3+/Mn4+ ratio, and Li incorporation. Guided by this approach, a series of high-Na-content P2-type cathodes was developed, and the key phase formation principles for Fe-containing compositions were revealed. Correlation analysis suggested an optimal composition, Na0.8Li0.07Fe0.12Ni0.11Mn0.7O2, featuring ultralow Ni content, demonstrated enhanced structural stability and Na+ diffusion kinetics. In situ XRD analysis confirmed exceptional structural resilience during cycling, exhibiting minimal lattice strain (1.5% volume variation) attributed to sufficient Na at the Naf site, mitigating TM layer gliding. Electrochemical evaluation revealed outstanding performance: a high reversible capacity (125.8 mAh g-1 at 0.1 C, 2.5-4.5 V), excellent cycling stability (81.6% capacity retention after 500 cycles at 1 C), and superior energy density in full cells (268.1 Wh kg-1). It also exhibited remarkable air stability, retaining structural integrity and 96.9% initial capacity after 10 days of air exposure. This design-oriented strategy not only clarifies the intrinsic phase formation rules but also establishes a paradigm for compositionally guided cathode engineering, bridging fundamental understanding and practical material design.",pubmed,0
Advanced high-entropy materials for fuel cells and water electrolysis,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D5CS01274K,RSC - Chem. Soc. Rev. latest articles,2026-04-12 23:00:00 UTC,2026-04-12 23:00:00+00:00,,Jiujun Zhang,"High-entropy materials (HEMs) represent a paradigm shift in developing efficient components of proton exchange membrane fuel cells/water electrolysis and solid oxide fuel cells/water electrolysis for hydrogen energy conversion and storage. This comprehensive review summarizes foundational breakthroughs and emerging applications of HEMs across those electrochemical energy devices, examines the roles of high configurational entropy and lattice distortion in HEMs, focusing on their fundamental enhancement of the thermodynamic stability and kinetic durability of device components under extreme operational conditions. Modern design paradigms – spanning AI-driven high-throughput screening to multi-scale computational modeling – are critically analyzed alongside advanced synthesis techniques, including solvent-free mechanochemical processing and ultrafast thermal shock methods. The multifunctional roles of HEMs are systematically examined through numerical examples in the literature. The analysis shows that the electrodes leveraging entropy-stabilized active sites demonstrate unprecedented activity for hydrogen oxidation (HOR), oxygen reduction (ORR), and water-splitting reactions (HER/OER) in both solid oxide and proton-exchange membrane systems; the electrolytes with HEMs exhibit tunable O2−/proton conductivities with exceptional interfacial compatibility; and interconnects and coatings with HEMs can mitigate chromium poisoning and degradation through entropy-mediated diffusion barriers. Several technical challenges in the development and application of HEMs are analyzed, and the corresponding research directions for overcoming the challenges are proposed toward the practical application of HEMs. A multidisciplinary roadmap integrating in situ characterization, machine learning optimization, and circular economy principles to accelerate HEM deployment in fuel cells and water electrolysis is also emphasized for energy conversion and storage infrastructure.",rsc_html,0
Emerging deposition–dissolution chemistry for next-generation metal-based hybrid flow batteries: progress and perspectives,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D5CS01418B,RSC - Chem. Soc. Rev. latest articles,2026-04-12 23:00:00 UTC,2026-04-12 23:00:00+00:00,,Zhi Xu,"As fossil fuels deplete and environmental pollution intensifies, the effective utilization of intermittent renewables calls for large-scale long-duration energy storage technologies. Metal-based hybrid flow batteries (MBHFBs) have considerable potential in energy density and cost efficiency, attributed to unique deposition–dissolution chemistry and abundant metal resources. However, the deployment and understanding of MBHFBs remain in their infancy. Moreover, the variation among metals leads to distinct challenges across various MBHFBs. To systematically address these challenges, this review adopts deposition–dissolution chemistry as a central theme and provides a comprehensive analysis of MBHFBs from an all-round perspective. Horizontally, MBHFBs are categorized into two groups based on non-aqueous/aqueous electrolyte, and further subdivided into eleven subcategories according to the anodic metals, evaluated in terms of principles, architectures, advantages, challenges, and corresponding strategies. Vertically, the advances and limitations of four core components (electrolytes, electrodes, membranes, and bipolar plates) are examined, aiming to reveal underlying interconnections and synergistic effects. Finally, we propose ten promising future research directions for MBHFBs. This review aims to improve the understanding of design principles and optimization strategies for MBHFBs, support the establishment of a unified theoretical framework for deposition–dissolution chemistry, and offer relevant insights for developing next-generation low-cost and high-energy-density energy storage technologies.",rsc_html,0
Electrocatalytic amine dehydrogenation as a green route to nitriles: precise construction of efficient catalysts and mechanism,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D5CS01445J,RSC - Chem. Soc. Rev. latest articles,2026-04-12 23:00:00 UTC,2026-04-12 23:00:00+00:00,,Jian-Jun Wang,"Electrocatalytic amine dehydrogenation to nitriles has emerged as a green and sustainable synthetic route, providing a promising alternative to traditional energy-intensive and polluting nitrile production processes. However, this field still faces significant challenges, such as limited catalytic activity and selectivity, insufficient mechanistic understanding, and a lack of systematic integration of catalyst and system design. To address these issues, this review comprehensively summarizes recent advances in electrocatalytic nitrile synthesis from amines. Beginning with the fundamental electrocatalytic mechanisms, we focus on rational design strategies for high-performance catalysts, highlighting how catalyst structures and electrolyte components regulate interfacial properties and reaction pathways. By integrating in situ characterization, theoretical calculations, and performance evaluation, we further identify key future research directions, including multi-scale optimization of catalytic systems, electrolyzer design, and techno-economic analysis. This review aims to offer theoretical insights and practical guidance for the development of efficient, stable, and scalable electrocatalytic systems for green nitrile synthesis.",rsc_html,0
