title,link,published,source,pub_date,doi,abstract,abstract_source,published_str,must_have_abstract
Confined crystallization strategy enabling high-quality perovskite film for advanced photovoltaics,https://www.cell.com/joule/fulltext/S2542-4351(25)00409-X?rss=yes,,Joule,2025-12-16 00:00:00+00:00,,"Fabricating high-quality semiconductor films on curved surfaces remains a major challenge due to stress and interfacial mismatch. This study introduces a solvation regulation strategy that confines perovskite crystallization within localized solvent clusters during spray deposition. Such confined growth lowers the energy barrier for crystal formation, enabling uniform, defect-suppressed films even under high humidity. The approach allows for scalable fabrication of efficient perovskite optoelectronic devices with tunable thickness on arbitrary curved surfaces.",rss_cell,2025-12-16 00:00:00 UTC,False
Nanoscale chemical imaging of pseudocapacitive charge storage in MXene,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE05809K,,RSC - Energy Environ. Sci. latest articles,2025-12-16 00:00:00+00:00,,"Pseudocapacitive materials store electrochemical energy through fast and reversible surface charge transfer reactions. Titanium carbide MXenes are two-dimensional materials which have shown redox or intercalation pseudocapacitive properties depending on the electrolyte. Nevertheless, the intrinsic pseudocapacitive charging mechanism in individual MXene flakes remains unresolved. Here, we employ in-situ scanning transmission X-ray microscopy (STXM) to map the local chemical changes in individual Ti 3 C 2 T x MXene flakes during spontaneous and electrochemical intercalation of protons and lithium ions in aqueous electrolytes. Our investigations reveal that proton and lithium ion intercalation induces a reduction and an oxidation, respectively, of the titanium atoms in the MXene. This difference reveals a profoundly different chemical origin between redox and intercalation pseudocapacitive processes. By elucidating the interplay between ion hydration, MXene surface chemistry and flake morphology, our study highlights the relevance of chemical imaging on single entities for the fundamental understanding of electrochemical charge storage mechanisms.",rsc_html,2025-12-16 00:00:00 UTC,False
"Strain, stress, and rotation fields, and energetic features of twisted 2D materials",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf577/8381225?rss=1,,National Science Review Advance Access,2025-12-16 00:00:00+00:00,10.1093/nsr/nwaf577/8381225,"Twisted two-dimensional (2D) materials exhibit remarkable quantum properties due to Moiré-pattern-induced electronic band structure change, highly sensitive to nanoscale deformation from atomic-scale reconstruction. The absence of an analytical model linking deformation to twist angle limits property tunability. We developed a theoretical model characterizing deformation and energetics of twisted 2D materials. As twist angle increases, Moiré patterns evolve from triangular partial-dislocation networks to hexagonal domains with domain walls. Using anisotropic dislocation theory, we derived analytical expressions for local rotation, strain, and stress fields at small twist angles, and a nonlinear formula relating energy density to twist angle, capturing the transition from rapid growth to near saturation (0–30°). Theoretical predictions agree well with previous experimental and computational studies and our atomistic simulations for twisted bilayer graphene, hexagonal boron nitride, and trilayer graphene. This work provides a theoretical foundation for twist-angle control of quantum properties, enabling design of 2D quantum devices.",rss_oup,2025-12-16 00:00:00 UTC,False
The development of customized perovskite photodetectors,https://www.nature.com/articles/s41928-025-01517-9,,Nature Electronics,2025-12-16 00:00:00+00:00,,"The capabilities of photodetectors based on halide perovskites have advanced rapidly in recent years, with their typical metrics—including responsivity, detectivity and response speed—surpassing those of silicon detectors. However, concerns regarding reliability and manufacturing yield limit commercial interest in replacing established technology with perovskite devices in conventional applications such as communications and imaging. A promising initial step towards the broader commercialization of perovskite detectors lies in customized device architectures for specific applications or products, an approach that can fully leverage the compositional versatility and integration capabilities of perovskite materials. Here we explore the development of traditional standardized perovskite photodetectors and consider the emergence of customized perovskite photodetectors, including shape-customized detectors, selective photodetectors, multidimensional photodetectors, dynamic-tracking detectors and neuromorphic visual sensors. We also consider the key challenges that need to be addressed to deliver application-specific devices for commercial applications.",nature_html,2025-12-16 00:00:00 UTC,False
Nanoscopic strain evolution in single-crystal battery positive electrodes,https://www.nature.com/articles/s41565-025-02079-9,,Nature Nanotechnology,2025-12-16 00:00:00+00:00,,"Single-crystal Ni-rich layered oxides (SC-NMC) with a grain-boundary-free configuration have effectively addressed the long-standing cracking issue of conventional polycrystalline Ni-rich materials (PC-NMC) in lithium-ion batteries, prompting a shift in optimization strategies. However, continued reliance on anisotropic lattice volume change—a well-established failure indicator in PC-NMC—as a metric for understanding strain and guiding compositional design for SC-NMC becomes controversial. Here, by leveraging multiscale diagnostic techniques, we unravelled the distinct nanoscopic strain evolution in SC-NMC during battery operation, challenging the conventional composition-driven strategies and mechanical degradation indicators used for PC-NMC. Through particle-level chemomechanical analysis, we reveal a decoupling between mechanical stability and lattice volume change in SC-NMC, identifying that structural instability in SC materials is primarily driven by multidimensional lattice distortions induced by kinetics-driven reaction heterogeneity and progressively deactivating chemical phases. Using this mechanical failure mode, we redefine the roles of cobalt and manganese in maintaining mechanical stability. Unlike cobalt’s detrimental role in PC-NMC, we find cobalt to be critical in enhancing the longevity of SC-NMC by mitigating localized strain along the extended diffusion pathway, whereas manganese exacerbates mechanical degradation.",nature_html,2025-12-16 00:00:00 UTC,False
Geometry-driven polarity in antiferromagnetic metals,https://www.nature.com/articles/s41563-025-02449-7,2025-12-16 00:00:00 UTC,Nature Materials,2025-12-16 00:00:00+00:00,,,,,
Materials reach new levels of frustration,https://www.nature.com/articles/s41563-025-02442-0,2025-12-16 00:00:00 UTC,Nature Materials,2025-12-16 00:00:00+00:00,,,,,
Reconfiguring perovskite interlayers,https://www.nature.com/articles/s41563-025-02438-w,2025-12-16 00:00:00 UTC,Nature Materials,2025-12-16 00:00:00+00:00,,,,,
Mechanism of alternative splicing of yeast HEH1 through competing 5’ splice sites,https://www.nature.com/articles/s41467-025-67659-8,2025-12-16 00:00:00 UTC,Nature Communications,2025-12-16 00:00:00+00:00,,,,,
Electrolyte engineering enables rapid and durable Zn–air self-charging batteries,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE05459A,,RSC - Energy Environ. Sci. latest articles,2025-12-16 00:00:00+00:00,,"Zinc–air self-charging batteries integrate energy harvesting, storage, and conversion by utilizing ambient oxygen to drive spontaneous redox reactions, but their practical application is limited by sluggish self-charging kinetics and unstable aqueous interfaces. Here we introduce a hybrid electrolyte of N,N-dimethylacetamide (DMAC) with 10 vol% H2O that achieves rapid and durable Zn–air self-rechargeability. DMAC offers low vapor pressure, high oxygen solubility, and resistance to reactive oxygen species, while the controlled water content supplies protons essential for Zn2+ intercalation. This synergy drives the formation of a porous, oxygen-permeable interfacial layer that accelerates Zn2+ transport and continuous oxygen reduction. Consequently, the batteries self-charge to 0.9 V within 13 min in an oxygen atmosphere, deliver a record cumulative discharge capacity of 37 392 mAh g−1 over 200 cycles, and maintain high-rate capability. This electrolyte design overcomes intrinsic limitations of aqueous systems and establishes a pathway toward safe, high-performance air self-charging batteries.",rsc_html,2025-12-16 00:00:00 UTC,False
