title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,pub_date_source,rss_pub_date,rss_published_str
Accelerating net-zero transition: Satellite insight reveals Decarbonization potential of coal-fired power plants,https://www.sciencedirect.com/science/article/pii/S0306261925020239?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Fatigue-resistant metal-film-based flexible conductors with a coherent gradient nanolayered architecture,https://www.nature.com/articles/s41928-025-01503-1,Nature Electronics,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"Metal-film-based conductors are an important element of flexible electronic devices. However, they typically suffer from fatigue damage and electrical degradation under cyclic deformation, which can limit practical use. Here we report fatigue-resistant metal films with a coherent gradient nanolayered architecture. The architecture consists of alternating stacked layers of silver and aluminium, with silver layers that become progressively thinner and finer grained. Initial crack nucleation is delayed by a combination of heterodeformation-induced strengthening, controlled grain coarsening in the silver layer and mitigation of interface stress concentrations. The moderate interface adhesion between silver and aluminium, and the multiaxial stress state induced by the gradient structure, also promote interface delamination and crack deflection, which suppresses fatigue-crack propagation. Our coherent gradient nanolayered silver/aluminium films exhibit a conductivity of over 107 S m−1 and relatively little conductivity change in both high-cycle, low-stress regimes (107 cycles at 0.7% strain) and low-cycle, high-stress regimes (105 cycles at 5% strain).",nature_html,False,,,,
"City-scale rooftop retrofit prioritization: linking thermal performance, energy impacts, urban morphology, and population exposure",https://www.sciencedirect.com/science/article/pii/S0306261925020343?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Temperature-dependent cathode starvation effects on cold start behavior of PEMFC stacks: An experimental investigation,https://www.sciencedirect.com/science/article/pii/S030626192502029X?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Two-layer coordinated operation of multi-energy system considering carbon-oriented collaborative pricing mechanism via two-stage stochastic programming approach,https://www.sciencedirect.com/science/article/pii/S0306261925020288?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Cutting global nitrogen emissions by one-third for balanced and achievable SDGs by 2030,https://www.cell.com/one-earth/fulltext/S2590-3322(25)00388-4?rss=yes,One Earth,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Seeing the unseen: Real-time tracking of battery cycling-to-failure via surface strain,https://www.cell.com/joule/fulltext/S2542-4351(25)00453-2?rss=yes,Joule,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"This study proposes a strain-based approach to address passive failures in lithium-ion batteries, which present spontaneous safety risks often indistinguishable from routine degradation using conventional diagnostics. By establishing a strain-failure correlation, we introduce a slope-based threshold and a failure-proximity index to characterize degradation-to-failure transitions. Incorporating strain-informed machine learning, it effectively detects early failure onset and estimates proximity. This scalable approach is suitable for real-time, onboard monitoring, supporting safer and more reliable battery operation.",rss_cell,False,,,,
Public-private partnership in energy investment and inclusive growth,https://www.sciencedirect.com/science/article/pii/S0301421525005178?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
AI-empowered prediction of office building energy use from single-view conceptual images for early-stage design,https://www.sciencedirect.com/science/article/pii/S0306261925020197?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Explainable machine learning unveils a critical trade-off in SOFCs: The role of cathode-to-anode reaction site ratio,https://www.sciencedirect.com/science/article/pii/S0306261925020173?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
