title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
Power allocation for alkaline water electrolysis clusters under current fluctuations: a model-based method for efficiency enhancement,https://www.sciencedirect.com/science/article/pii/S0306261926010548?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Liming Jin,,,
Technology indicators enable early detection of decarbonization failures,https://www.sciencedirect.com/science/article/pii/S0306261926011049?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Klaus Keller,,,
Raphia hookeri seed-inspired weakly anisotropic nanocomposites,https://www.nature.com/articles/s41467-026-75719-w,,Nature Communications,2026-07-18 00:00:00+00:00,10.1038/s41467-026-75719-w,Qunfeng Cheng,,"The composites inspired by nacre, bone and teeth etc, often display anisotropic mechanical properties due to the high aspect ratio of their structural units, resulting in sudden failures under specific loading conditions. It still remains great challenge for fabricating the nanocomposites with weakly anisotropic mechanical properties. Herein, we discover the unique structure of the Raphia hookeri seed with a weakly anisotropic crack resistance in multiple directions. The remarkable mechanical properties stem from its tightly bonded, isodiametric cells and interlocking pits. Drawing inspiration from Raphia hookeri seed, we demonstrate an artificial Raphia hookeri seed nanocomposites by assembling layered polymethyl methacrylate-graphene microspheres with pits, which were then interwoven with polymethyl methacrylate to mimic the essential hierarchical structure. The artificial Raphia hookeri seed exhibits effective toughening performance across all crack orientations, and achieves a fracture toughness of up to 4.84 MPa m1/2 and specific toughness of 4.28 MPa m1/2/(Mg m−3), which are higher than both natural Raphia hookeri seed and previously fabricated weakly anisotropic polymer nanocomposites. The optimal distribution of pits and enhanced interfacial interactions between microspheres effectively inhibit crack propagation, contributing to the artificial Raphia hookeri seed’s superior toughness in all directions. This pit-enabled granular microsphere architecture provides an avenue for fabrication high-performance weakly anisotropic nanocomposites.",nature_html
Refractory inclusions in Bennu samples indicative of outer Solar System accretion,https://www.nature.com/articles/s41467-026-73868-6,,Nature Communications,2026-07-18 00:00:00+00:00,10.1038/s41467-026-73868-6,Dante S. Lauretta,,"NASA’s OSIRIS-REx mission returned material from the carbonaceous asteroid Bennu, which is dominated by aqueous-alteration products but preserves rare high-temperature components. Here we present an integrated petrographic, oxygen-isotopic and 26Al–26Mg chronological characterization of refractory inclusions in Bennu samples. All identified inclusions are small (26Al–26Mg systematics demonstrate formation during the earliest stage of Solar System evolution and genetic affinity with refractory inclusions in asteroid Ryugu samples and chondritic meteorites. The shared refractory-inclusion signatures across diverse chondritic materials are consistent with widespread outward transport and mixing of early-formed inner-disk solids. In Bennu samples analyzed thus far, large (>submillimeter) refractory inclusions are absent, in contrast to most carbonaceous chondrites. This size distribution implies that Bennu’s constituents accreted in the outer Solar System beyond the pressure bump associated with proto-Jupiter, which effectively filtered distinct dust populations.",nature_html
Learning ordinality-aware multimodal representations for composite materials design,https://www.nature.com/articles/s41467-026-75615-3,,Nature Communications,2026-07-18 00:00:00+00:00,10.1038/s41467-026-75615-3,Ivor Tsang,,"Composite materials design requires understanding complex microstructural characteristics, necessitating the integration of heterogeneous data sources with artificial intelligence. Current multimodal learning frameworks are mostly developed for crystalline or polymer systems with discrete structure-property mappings and well-defined structural graphs, but fail to model the continuous and nonlinear composite design spaces under data scarcity. Here we present ordinality as a core principle when building multimodal representations for composite materials. We propose ORDinal-aware imagE-tabulaR (ORDER) alignment to integrate microstructures with tabular material descriptors and apply physics-based surrogate signals to eliminate the need for full property annotation. ORDER ensures similar target properties occupy nearby regions in the latent space, preserving the continuous nature of composite properties and enabling meaningful interpolation between sparsely observed designs. Evaluated on nanofiber and carbon fiber composite datasets, ORDER consistently outperforms alignment-oriented and property-aware baselines across property prediction, cross-modal retrieval, and microstructure generation tasks.",nature_html
Optimization configuration of hybrid energy storage in integrated energy systems,https://www.sciencedirect.com/science/article/pii/S0306261926010482?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Wei-Guo Pan,,,
Low-carbon scheduling for integrated electricity-hydrogen-gas systems with coordinated line-pack and tank-truck effects,https://www.sciencedirect.com/science/article/pii/S0306261926011244?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Wenchuan Wu,,,
Early-stage degradation mechanism and PINN-based state-of-health prediction of a PEMFC stack under typical ship operating conditions,https://www.sciencedirect.com/science/article/pii/S0306261926010767?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Yulong Ji,,,
Coordination electrochemistry taming reversible hypervalent bromine redox for energetic six-electron-transfer lithium-bromine battery,https://www.nature.com/articles/s41467-026-75860-6,,Nature Communications,2026-07-18 00:00:00+00:00,10.1038/s41467-026-75860-6,Xinliang Li,,"Conversion-type static bromine batteries demonstrate promise in high output voltage and large capacity for rechargeable energy storage due to the inherent polyvalent reaction potential. Nevertheless, the combination of the limited two-electron 2Br-/Br2 redox couple and the redox-inactive organic ligands presents a fundamental bottleneck for the overall specific energy. Herein, ethyl viologen dibromide is developed as an energetically active positive electrode for organic lithium-bromine batteries by efficient coordination chemistry, featuring an advanced six-electron redox mechanism triggered by both intercalation and conversion reactions. The activated redox couple of 2Br-/2Br+ incubates a collaborative increase in capacity (632.8 mAh g−1Br) and discharge voltage (3.7 V). Besides, ethyl viologen undergoes reversible two-step intercalation and extraction of Li+ ions, contributing to additional energy storage. Reciprocal spectroscopic characterizations and computational electrochemistry indicate the chemisorption effect and interhalogen confinement and detail the dynamic mass-charge transfer pathway. This work sets a paradigm worth emulating for designing high-performance halogen batteries.",nature_html
Planning alternatives under divergent futures: Linking transformative scenario design with bottom-up modelling and distributional impact assessment to quantify inequalities in electricity affordability,https://www.sciencedirect.com/science/article/pii/S0306261926011050?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-18 00:00:00+00:00,,Alexandros Flamos,,,
